chartNumber;column;columnSize;correctColumn;correctColumnSize;duration;Participant
0;1;10;1;11;132.629580259323;participant1
21;3;25;3;31;32.7499947547913;participant1
4;2;52;2;52;20.7763421535492;participant1
18;1;12;1;10;35.8040361404419;participant1
6;0;38;0;37;12.0492162704468;participant1
17;1;9;1;10;20.7450938224792;participant1
10;1;42;1;42;13.7467520236969;participant1
22;3;30;3;31;25.8376410007477;participant1
2;1;18;1;15;16.0118448734283;participant1
7;2;29;2;20;11.0911784172058;participant1
23;2;48;2;52;27.8683638572693;participant1
3;2;48;2;52;29.3055737018585;participant1
15;2;82;2;85;23.2757496833801;participant1
24;2;52;2;52;16.5585989952087;participant1
8;2;19;2;20;10.2631897926331;participant1
19;3;25;3;29;15.4182307720184;participant1
12;1;22;1;22;23.9943289756775;participant1
11;1;22;1;22;11.4191799163818;participant1
20;3;28;3;29;13.9342036247253;participant1
1;1;17;1;15;13.0906574726105;participant1
16;2;82;2;85;17.2303512096405;participant1
14;0;17;0;14;23.0101413726807;participant1
13;0;18;0;14;24.5098314285278;participant1
5;0;38;0;37;18.3862817287445;participant1
9;1;42;1;42;13.3249754905701;participant1
0;1;10;1;11;107.39902305603;participant2
7;2;20;2;20;13.2774620056152;participant2
5;0;38;0;37;19.0423738956451;participant2
16;2;85;2;85;20.0577614307404;participant2
23;2;50;2;52;18.1988315582275;participant2
18;1;10;1;10;22.1978716850281;participant2
15;2;85;2;85;28.6807222366333;participant2
13;0;15;0;14;14.5121958255768;participant2
2;1;15;1;15;9.24781346321106;participant2
17;1;10;1;10;20.8856902122498;participant2
22;3;30;3;31;8.76355266571045;participant2
11;1;22;1;22;20.6669914722443;participant2
24;2;52;2;52;11.1223723888397;participant2
21;3;32;3;31;27.6340944766998;participant2
6;0;36;0;37;19.16734790802;participant2
8;2;20;2;20;10.4194083213806;participant2
1;1;14;1;15;15.3557476997376;participant2
19;3;30;3;29;17.7926778793335;participant2
4;2;52;2;52;14.402839422226;participant2
9;1;42;1;42;14.2778768539429;participant2
20;3;30;3;29;14.0435581207275;participant2
10;1;43;1;42;34.3512544631958;participant2
12;1;22;1;22;7.4357442855835;participant2
3;2;52;2;52;43.6303124427795;participant2
14;0;15;0;14;11.8058254718781;participant2
0;1;10;1;11;86.5463607311249;participant3
11;1;22;1;22;13.6061611175537;participant3
7;2;20;2;20;9.79455924034119;participant3
12;1;22;1;22;9.23219275474548;participant3
17;1;10;1;10;16.3398900032043;participant3
4;2;53;2;52;12.5126678943634;participant3
3;2;50;2;52;18.1363399028778;participant3
20;3;30;3;29;17.0546705722809;participant3
9;1;41;1;42;23.7094099521637;participant3
15;2;82;2;85;32.5860416889191;participant3
5;0;39;0;37;9.01349329948425;participant3
19;3;28;3;29;11.5129041671753;participant3
18;1;10;1;10;12.668881893158;participant3
1;1;16;1;15;16.6825675964355;participant3
2;1;18;1;15;7.935622215271;participant3
23;2;50;2;52;12.4033203125;participant3
13;0;17;0;14;13.5749638080597;participant3
22;3;26;3;31;14.8245778083801;participant3
8;2;20;2;20;8.20123028755188;participant3
16;2;84;2;85;14.309493303299;participant3
6;0;38;0;37;8.82562351226807;participant3
21;3;32;3;31;13.7936115264893;participant3
14;0;18;0;14;10.1226181983948;participant3
24;2;53;2;52;14.1529092788696;participant3
10;1;42;1;42;8.31051874160767;participant3
0;1;10;1;11;75.6933488845825;participant4
4;2;52;2;52;12.8481106758118;participant4
11;1;25;1;22;12.8719580173492;participant4
10;1;42;1;42;12.3408260345459;participant4
3;2;50;2;52;12.9813070297241;participant4
8;2;20;2;20;9.74770212173462;participant4
23;2;50;2;52;12.8407089710236;participant4
9;1;42;1;42;13.0594327449799;participant4
14;0;18;0;14;10.7630627155304;participant4
21;3;30;3;31;14.1060411930084;participant4
6;0;38;0;37;12.9969382286072;participant4
1;1;17;1;15;14.6527767181396;participant4
16;2;83;2;85;10.3725526332855;participant4
19;3;30;3;29;11.6066317558289;participant4
20;3;24;3;29;12.8250930309296;participant4
2;1;18;1;15;8.95100855827332;participant4
13;0;16;0;14;15.4807162284851;participant4
22;3;30;3;31;10.4975206851959;participant4
24;2;52;2;52;13.9810700416565;participant4
5;0;40;0;37;11.3254492282867;participant4
12;1;22;1;22;11.9815444946289;participant4
18;1;10;1;10;20.260835647583;participant4
17;1;10;1;10;16.5117247104645;participant4
7;2;20;2;20;13.7311329841614;participant4
15;2;85;2;85;10.4975402355194;participant4
0;1;10;1;11;64.6511418819428;participant5
17;7;12;1;10;18.1443386077881;participant5
6;0;37;0;37;16.1992976665497;participant5
10;1;42;1;42;22.8852152824402;participant5
4;2;52;2;52;16.5586006641388;participant5
12;1;22;1;22;10.4184627532959;participant5
19;3;30;3;29;13.934207201004;participant5
18;1;12;1;10;19.0267519950867;participant5
9;1;42;1;42;10.9974036216736;participant5
23;2;51;2;52;11.7159779071808;participant5
15;2;85;2;85;16.9002406597137;participant5
22;3;30;3;31;11.3566927909851;participant5
14;0;14;0;14;18.7455670833588;participant5
3;2;50;2;52;10.2788214683533;participant5
2;1;18;1;15;7.81065464019775;participant5
20;3;28;3;29;11.4504446983337;participant5
7;2;20;2;20;9.26341009140015;participant5
24;2;52;2;52;11.3566987514496;participant5
13;0;12;0;14;10.6849694252014;participant5
16;2;85;2;85;17.2615442276001;participant5
21;3;30;3;31;12.4189364910126;participant5
5;0;38;0;37;20.0421411991119;participant5
8;2;20;2;20;9.01349520683289;participant5
1;1;18;1;15;9.81019258499146;participant5
11;1;22;1;22;8.79478669166565;participant5
